title_web,job_type,salary,location,summary,company,date,Country,title,website
Patient Care Tech Med Surg Tele,Healthcare Administration,None,"Las Vegas, NV 89109","The Patient Care Technician (PCT) delivers high quality, patient-centered care by performing a variety of delegated basic patient care services related to…",Sunrise Hospital,5/31/21,United States,Med,Indeed
Med Tech/Caregiver,Healthcare Administration,From $12.50 an hour,"Caldwell, ID 83607","Hours: Full-time AM, PM, and NOC Shifts available – must be willing to work evenings and week-ends.To learn more about Lenity Senior Living go to *www…",Lenity Senior Living,5/31/21,United States,Med,Indeed
INFORMATION ASSOCIATE (NORTH LITTLE ROCK/MED SURG-3C),Healthcare Administration,None,"North Little Rock, AR 72117",The information associatie is the face of the nursing unit who serves to greet each and every guest making them feel welcome and helping to keep them informed.,Baptist Health Arkansas,5/31/21,United States,Med,Indeed
Travel LPN / LVN - Med Surg,Healthcare Administration,"$1,082 a week","Reno, NV","OneStaff Medical is seeking a LPN / LVN Med Surg for a travel job in Reno, Nevada.$1,082 per week in taxable pay and non-taxable stipends.",NurseFly,5/31/21,United States,Med,Indeed
"Physical Therapist Fulltime, Amb-Med Ctr Clinic Frisco",Healthcare Administration,None,"Dallas, TX 75390 (Near East area)","Graduation from Physical Therapy School accredited by American Physical Therapy Association.Licensure by the State of Texas,.",UT Southwestern,5/31/21,United States,Med,Indeed
Med Tech/Caregiver,Healthcare Administration,$11.50 - $13.00 an hour,"Twin Falls, ID 83301",ALL SHIFTS HIRING FOR PART-TIME/FULL-TIME/PRN.Benefits available: (Full and part time employees).Dental and Vision Insurance.Dental and Vision Insurance.,Grace Assisted Living at Twin Falls,5/31/21,United States,Med,Indeed
Qmaps/Med Tech Needed for 12 Hour Days weekends! 17 an Hour!,Healthcare Administration,$16.85 - $17.25 an hour,"Lakewood, CO 80226",Weekly Pay with Direct Deposit!We will be offering our staff the CNA Reimbursement program!Huge need for Days Evenings and Nights!,Amada,5/31/21,United States,Med,Indeed
Post Doc-Med Microbio & Immunology-,Healthcare Administration,None,"Toledo, OH 43606 (Ottawa area)",Individual will serve as a postdoctoral fellow on an NIH-funded biomedical research program to study molecular mechanisms of RNA synthesis and processing by non…,University of Toledo,5/31/21,United States,Med,Indeed
Nuclear Med Tech,Healthcare Administration,None,"San Diego, CA 92103","They will adhere to safety standards and regulatory requirements, participate in QC and PI activities, and maintain clinical competency and mandatory…",Scripps Health,5/31/21,United States,Med,Indeed
Rep II Clinical Med D,Healthcare Administration,None,Mississippi,Healthcare providers to process Prior Authorizations (PA).And drug benefit exception requests in a call center.With Medicare Part D guidelines.,CVS Health,5/31/21,United States,Med,Indeed
Trauma Cardiac Med Surg Nurse,Healthcare Administration,None,"Las Vegas, NV 89109",The registered nurse is a registered professional nurse who participates as an active member of the Nursing Team on the assigned unit/department.,Sunrise Hospital,5/31/21,United States,Med,Indeed
"RN, Med-Surg, Full-Time, Days",Healthcare Administration,None,"Tulsa, OK 74132","The patients are post-surgical and are made up of approximately 70% spine, 25% ortho (knees and hips, etc) and 5% GYN.Medical, dental, and vision insurance.",Tulsa Spine & Specialty Hospital,5/31/21,United States,Med,Indeed
Observation Med Surg Nurse,Healthcare Administration,None,"Las Vegas, NV 89109","BONUS: $15,000 Bonus eligible for canidates with a minimum of two (2) years acute care hospital experience.Appropriate to patient population and level of care.",Sunrise Hospital,5/31/21,United States,Med,Indeed
MLS/Med Tech (Non-Cert) Days,Healthcare Administration,None,"Chicago, IL 60601 (The Loop area)",Bachelor degree and graduation from a Medical Technology program approved by the National Accrediting Agency for Clinical Laboratory Sciences (NAACLS) or an…,Advocate Aurora Health,5/31/21,United States,Med,Indeed
Registered Nurse Med/Surg Full Time- Jerome,Healthcare Administration,None,"Jerome, ID 83338","The Registered Nurse is responsible for evaluating patients and assisting physicians with patient care.Plans, implements, and documents nursing care based on…",St. Luke's Health System,5/31/21,United States,Med,Indeed
"Registered Nurse Med/Surg, Full-Time",Healthcare Administration,None,"Enterprise, AL","Evaluates assigned patients and plans, implements and documents nursing care.Assists physicians during examinations and procedures.",Medical Center Enterprise,5/31/21,United States,Med,Indeed
Certified Nursing Assistant- Med/Surg - Baptist South,Healthcare Administration,None,"Jacksonville, FL 32258 (Del Rio area)",We are looking for a compassionate and experienced Certified Nursing Assistants to join our team.We are looking for Certified Nursing Assistant candidates who…,Baptist Health,5/31/21,United States,Med,Indeed
"RN - Med/Surg, Family Childbirth Center",Healthcare Administration,None,"Edmonds, WA 98020","The Registered Nurse (RN) provides professional, comprehensive nursing care for patients in an acute care environment.Nursing degree/diploma upon hire.",Swedish Health Services,5/31/21,United States,Med,Indeed
"RN (Med/Surg/Ortho/Peds, Full-time, Day Shift)",Healthcare Administration,None,"Natchez, MS","Evaluates assigned patients and plans, implements and documents nursing care.Assists physicians during examinations and procedures.",Merit Health Natchez,5/31/21,United States,Med,Indeed
Med/Surg RN - FT (7a-7p),Healthcare Administration,None,"Chickasha, OK 73018","Registered Nurse Full Time/72 hr (7a-7p).License required, BLS & PALS required.",Grady Memorial Hospital,5/31/21,United States,Med,Indeed
Registered Nurse - Med/Surg,Healthcare Administration,From $24.50 an hour ++,"Marshall, MO 65340","$5,000 Sign On Bonus Available (for full-time Med/Surg RNs)*.Starting at $24.50/hr (includes third shift differential-based on experience).",JOHN FITZGIBBON MEMORIAL HOSPITAL INC,5/31/21,United States,Med,Indeed
Medical Record Technician - Health Information Management UI...,Healthcare Administration,None,"Chicago, IL 60612 (Illinois Medical District area)",Performs duplicate medical record merges and corrects documentation errors.Analyzes and edits patient information in the electronic health record to identify…,University of Illinois at Chicago,5/31/21,United States,Medical records management,Indeed
Medical Records / Health Information Management,Healthcare Administration,None,"Savannah, GA 31406",Have prior experience with medical records.Conducts routine audits on active medical records.Establishes and maintains control procedures to optimize the…,RiverView Health and Rehab,5/31/21,United States,Medical records management,Indeed
HIM/Medical Records Clerk - Health Information Management,Healthcare Administration,$14 - $15 an hour,"Aberdeen, WA","Education in medical terminology, word processing and spreadsheets.Minimum of one year experience in a health care related field is preferred (Ex: doctor’s…",Local Aberdeen Hospital,5/31/21,United States,Medical records management,Indeed
Medical Records Management Specialist,Healthcare Administration,None,"Lake Success, NY",You will also be instrumental in performing records account management.Provide basic records management training to clinical offices as it relates to using…,ProHEALTH Medical Management,5/31/21,United States,Medical records management,Indeed
Health Information Management Coordinator/Medical Records,Healthcare Administration,None,"Fargo, ND 58102 (Downtown area)",Manage and execute various medical record processes.Scans and indexes medical records into the EMR or other appropriate imaging system.,Family HealthCare,5/31/21,United States,Medical records management,Indeed
Health Information Management Technician (Medical Records),Healthcare Administration,None,"Bellingham, WA",Minimum one (1) year experience in a medical office setting processing medical records desired.One (1) year of training in a medical office program preferred.,Island Hospital,5/31/21,United States,Medical records management,Indeed
Information Management/Medical Records,Healthcare Administration,From $14 an hour,"Greenville, SC 29615",Fax medical records release for any outside records needed.Cover other clinical medical records staff in their absence.Accuracy and attention to detail.,"Gastroenterology Associates, P.A.",5/31/21,United States,Medical records management,Indeed
HEALTH INFORMATION MANAGEMENT CLERK - MEDICAL RECORDS,Healthcare Administration,None,"Daytona Beach, FL 32117","Compiles information and records data on existing records for locations of prior imaging.1 year prior clerical, customer service, or medical records experience…",Radiology Associates of Daytona Beach,5/31/21,United States,Medical records management,Indeed
Medical Records / Health Information Management,Healthcare Administration,None,"Savannah, GA 31406",Have prior experience with medical records.Conducts routine audits on active medical records.Establishes and maintains control procedures to optimize the…,RiverView Health and Rehab,5/31/21,United States,Medical records management,Indeed
